i01jkhsp52rylgzeaxtm63ndb,rbvqm9z2,9/23/2030,29,$70934.71640,12/19/2001 21:33:16
c9ydmvqhz8jgi3,x3fyiwp1u0ganjt,9/15/2035,6950341287,$839506714.02157,5/12/1998 18:1:47
b5g2imo69z8,318nta4eivolqcduj0h,12/19/1990,5146802739,$085263.,8/7/2032 14:10:13
poj58kwm9bru1vg03,yml3b4qeo8sa9gitw67vc1j5rhzu,2/14/1987,7291486350,$265083.8549,11/10/1991 22:19:26
k462nioae7,cg24vpnmhi0aquwyr9kjzx38ef,6/19/1988,2793154806,$0538.435,12/16/2000 20:26:60
f24karnis9zcwohu7tyl5j1qv0dg,bcrdhu4j8vpkgf6ye1wl,11/5/1999,9730214568,$981.9301,3/22/1994 15:41:40
ns7ymfvzotq9lg2h6dwakr,0ego6dtjy,2/26/2022,0961847325,$3127604.05,11/27/2040 5:43:41
cp6qfol9t,l570pg34i6et8hnk2,2/13/2024,3072498165,$854716.61,11/1/2047 11:60:26
8hwbudcovgnzr0xji4pt3ys5,j97hcp2ysta,8/17/2007,7846513920,$976.51908,2/27/2036 3:24:17
mg13v4opnazielwhbd0q8jfsx,nfshq7r0a64xkwbpog9it,1/7/2010,7290813564,$7980563.64,3/20/2036 4:24:7
o5nmxesgu2clhz8v91ra4fdkjby,zmewq6pg1ksa5dnuy9t4c,2/29/2032,169,$251694738.28,3/12/1989 1:16:59
nk8we1vjg9b40prcumzxt,8qtig1nkxaj6o95wvc3lp0ry7m,3/25/2011,3974526081,$614079.712,9/28/2005 6:16:30
zy8pthx2bvnlsgco3fie04wadr7,cv8e1x7wg543as2rh,9/13/1988,9,$10374.5736,8/29/2029 6:37:43
s1mfrjxv86egilk47q2yd3,gj20,11/27/2045,6370512948,$940178.6,2/6/2040 24:24:48
r,9p2yrt5hi6su8,1/13/1998,7163905824,$71429086.1946,12/14/2003 16:17:58
bhesjmf,vku9wr3tqszbhmagfn7e,10/10/2050,1837429605,$6231.9325,3/15/2024 1:50:34
2da8,sz1a2ryw4lv7biju0og3,1/26/1987,5168203947,$386517.261,3/4/2049 23:3:55
f0pa3o9xkhs54uyzcrnil6q,za8,9/20/2036,1035642978,$.6317,8/15/2016 14:1:10
bhfdowjva63clmrque8n547,p7hifwlsq02y9kvg8zomnbejc,5/19/2021,3742960518,$49635810.1,3/19/2034 9:58:5
lxs7d4y9tvzponcf3bmareq,3u70p41hjecqxsykg5,1/23/2016,0287596143,$9037812.8507,3/17/1999 3:48:32
9d6yn8,23i41dxhob,7/10/1993,5483016729,$096.573,10/29/2050 5:27:56
